id,exact_match,pref_label,identifier,close_match,scope_note,note,editorial_note,history_note,definition,alternate_label,alternate_label_source,alternate_label_annotation,alternate_label_language,hidden_label,pref_label_source,pref_label_language,alternate_label_campus,scheme
http://library.ucsd.edu/ark:/20775/bb53277026,http://id.worldcat.org/fast/1018930,Mexican American art,,,,,,,,,,,,,,,,
http://library.ucsd.edu/ark:/20775/bb7887729d,http://vocab.getty.edu/aat/300047753,models (representations),,https://www.wikidata.org/wiki/Q12149837,,,,,,,,,,,,,,
http://library.ucsd.edu/ark:/20775/bb4098565g,http://id.worldcat.org/fast/1024387,Models (Persons),,http://vocab.getty.edu/aat/300025848,,,,,,,,,,,,,,
http://library.ucsd.edu/ark:/20775/bb66917388,http://id.worldcat.org/fast/1155007,Transportation,,http://id.loc.gov/authorities/subjects/sh85137027,,,,,,,,,,,,,,
http://library.ucsd.edu/ark:/20775/bb3517647z,http://id.worldcat.org/fast/1089760,Ranches,,http://id.loc.gov/authorities/subjects/sh85111326,,,,,,,,,,,,,,
http://library.ucsd.edu/ark:/20775/bb1402737h,http://vocab.getty.edu/aat/300386961,abandoned structures,,,,,,,,,,,,,,,,
http://library.ucsd.edu/ark:/20775/bb99686460,http://id.worldcat.org/fast/1735625,Landscapes,,http://id.loc.gov/authorities/subjects/sh85074392,,,,,,,,,,,,,,
http://library.ucsd.edu/ark:/20775/bb6315512w,http://id.worldcat.org/fast/1043442,Ocean,,http://id.loc.gov/authorities/subjects/sh85093871 | http://aims.fao.org/aos/agrovoc/c_12890,,,,,,,,,,,,,,
http://library.ucsd.edu/ark:/20775/bb2800113n,http://id.worldcat.org/fast/986732,Kelps,,http://id.loc.gov/authorities/subjects/sh85071892 | lod.nal.usda.gov/nalt/6347,,,,,,,,,,,,,,
http://library.ucsd.edu/ark:/20775/bb3041062k,http://id.worldcat.org/fast/1726178,Filmed performances,,http://id.loc.gov/authorities/genreForms/gf2011026276,,,,,,,,,,,,,,
http://library.ucsd.edu/ark:/20775/bb2596846n,http://id.worldcat.org/fast/967153,Illegal aliens,,,,,,,,Undocumented citizens,https://library.ucsd.edu,UCSD cultural sensitivity,,,,,ucsd,
http://library.ucsd.edu/ark:/20775/bb2359458d,http://vocab.getty.edu/aat/300197602,folders (containers),,,,,,,,Folders,https://library.ucsd.edu,,,,,,ucsd,
http://library.ucsd.edu/ark:/20775/bb6555926f,http://id.worldcat.org/fast/1064189,Pinatas,,https://www.wikidata.org/wiki/Q673051,,,,,,Piñatas,https://library.ucsd.edu,,,,,,ucsd,
http://library.ucsd.edu/ark:/20775/bb2357730t,http://id.worldcat.org/fast/1175164,Wilderness areas,,https://www.wikidata.org/wiki/Q544008,,,,,,Protected wildlands,http://id.worldcat.org/fast,,en,,,,ucsd,
http://library.ucsd.edu/ark:/20775/bb5428260k,,SUBJECT:TOPIC,Identifier value,http://arwenhutt.net/vocab/555,Scope Note value,Note value,Editorial Note value,History Note value,Definition value,SUJET,https://library.ucsd.edu,Annotation value,fr,Concept tracer,,,ucsd,